#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=3450 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:26.58 aq:17.35 tex:590526 mv:161392 misc:11074 imb:8160 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:27.89 aq:19.14 tex:62875 mv:14883 misc:7938 imb:814 pmb:2685 smb:4661 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:27.80 aq:18.67 tex:110083 mv:25011 misc:7762 imb:1556 pmb:3557 smb:3047 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:27.76 aq:18.49 tex:145279 mv:29856 misc:7073 imb:1641 pmb:4199 smb:2320 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:27.75 aq:18.29 tex:153354 mv:29632 misc:7214 imb:1372 pmb:4316 smb:2472 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:27.76 aq:17.96 tex:113929 mv:21606 misc:7945 imb:887 pmb:3405 smb:3868 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:27.73 aq:19.72 tex:55495 mv:16006 misc:5283 imb:268 pmb:2151 smb:5741 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:27.67 aq:19.47 tex:95402 mv:18428 misc:5634 imb:352 pmb:2492 smb:5316 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:27.66 aq:18.09 tex:122167 mv:27757 misc:7540 imb:1040 pmb:3556 smb:3564 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:27.64 aq:18.04 tex:146947 mv:29021 misc:7440 imb:1053 pmb:4212 smb:2895 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:27.64 aq:17.98 tex:106829 mv:26770 misc:7513 imb:983 pmb:4085 smb:3092 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:27.62 aq:18.23 tex:129927 mv:24363 misc:7526 imb:886 pmb:3851 smb:3423 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:27.60 aq:18.52 tex:154706 mv:29942 misc:6856 imb:1234 pmb:4653 smb:2273 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:27.61 aq:18.10 tex:144632 mv:26228 misc:7676 imb:1202 pmb:3948 smb:3010 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:27.59 aq:18.12 tex:108077 mv:24976 misc:7675 imb:1034 pmb:3760 smb:3366 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:27.56 aq:18.14 tex:131017 mv:22234 misc:7845 imb:923 pmb:3805 smb:3432 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:27.53 aq:18.47 tex:141868 mv:27458 misc:7122 imb:1241 pmb:4591 smb:2328 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:27.52 aq:18.10 tex:137132 mv:27717 misc:7599 imb:1243 pmb:4079 smb:2838 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:31.52 aq:20.85 tex:36526 mv:16613 misc:7941 imb:844 pmb:2333 smb:4983 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:34.52 aq:22.97 tex:24502 mv:9258 misc:6232 imb:470 pmb:1400 smb:6290 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:33.31 aq:22.90 tex:51494 mv:17517 misc:8085 imb:964 pmb:2449 smb:4747 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:32.83 aq:22.24 tex:48844 mv:12599 misc:7069 imb:578 pmb:1875 smb:5707 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:32.51 aq:21.85 tex:26426 mv:11375 misc:6823 imb:527 pmb:1580 smb:6053 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:31.97 aq:22.08 tex:59530 mv:15825 misc:7293 imb:645 pmb:2148 smb:5367 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:31.18 aq:21.63 tex:78120 mv:26384 misc:8072 imb:1240 pmb:3164 smb:3756 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:30.72 aq:21.60 tex:107103 mv:28943 misc:7746 imb:1288 pmb:3613 smb:3259 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:30.57 aq:20.94 tex:53619 mv:20698 misc:8003 imb:1181 pmb:2389 smb:4590 d:- ref:0 ;
